Choices:
(0,15,) | A | (6,22,222211211111),
(6,22,) | * | (2,28,0000111111),(11,22,22222),(8,29,111111122),(0,15,333330330000),
(2,28,) | * | (6,22,3333332222),(2,31,111),(2,31,2211100),
(11,22,) | * | (6,22,00000),(11,25,111),(15,22,2222),(11,16,333333),
(2,31,) | * | (2,28,333),(2,28,2233300),(2,33,11),
(8,29,) | * | (10,31,1122),(10,29,22),(11,25,3333222),(6,22,003333333),
(11,25,) | * | (11,22,333),(8,29,0001111),(11,28,111),
(15,22,) | * | (11,22,0000),(16,20,233),(18,26,1111222),
(11,16,) | * | (11,22,111111),(17,17,2222212),(17,10,333322222233),
(2,33,) | * | (2,31,33),(5,38,11111222),(5,33,222),
(10,31,) | * | (8,29,0033),(10,32,1),(10,29,33),
(10,29,) | * | (8,29,00),(10,31,11),(11,29,2),
(16,20,) | * | (15,22,110),(17,19,23),(17,19,32),
(17,17,) | * | (11,16,0300000),(17,19,11),(21,17,2222),
(5,38,) | * | (2,33,00033333),(5,33,33333),(10,34,222223333),
(5,33,) | * | (2,33,000),(5,38,11111),(10,33,22222),
(10,32,) | * | (10,31,3),(10,33,1),(15,34,2222211),
(11,29,) | * | (10,29,0),(11,28,230),(11,28,3),
(11,28,) | * | (11,29,210),(11,29,1),(11,25,333),
(18,26,) | * | (21,26,222),(19,29,1112),(15,22,0003333),
(17,19,) | * | (16,20,10),(16,20,01),(17,17,33),
(21,17,) | * | (17,17,0000),(21,21,1111),(23,17,22),
(10,33,) | * | (5,33,00000),(10,32,3),(10,34,1),
(21,21,) | * | (21,17,3333),(21,22,1),(21,22,012),
(23,17,) | * | (21,17,00),(23,19,11),(25,17,22),
(10,34,) | * | (10,33,3),(15,34,22222),(5,38,111100000),
(15,34,) | * | (10,34,00000),(18,34,11112223333),(18,34,222),(10,32,3300000),
(19,29,) | * | (19,31,11),(23,29,2222),(18,26,0333),
(21,26,) | * | (23,26,22),(21,24,33),(18,26,000),
(21,22,) | * | (21,21,3),(21,24,11),(23,22,22),(21,21,032),
(23,19,) | * | (23,17,33),(23,22,111),(25,17,2233),
(25,17,) | * | (23,17,00),(23,19,1100),(29,17,2222),(25,14,333),
(17,10,) | * | (24,8,330332222222211),(24,8,222233222),(11,16,110000001111),
(18,34,) | * | (15,34,11110003333),(15,34,000),(19,31,3332),
(19,31,) | * | (19,29,33),(18,34,0111),(23,29,2211111223333333),
(23,29,) | * | (19,29,0000),(23,26,333),(19,31,1111111003333300),
(23,26,) | * | (21,26,00),(23,29,111),(27,26,2222),(23,24,33),
(21,24,) | * | (21,26,11),(21,22,33),(23,24,22),
(23,22,) | * | (21,22,00),(23,19,333),(23,24,11),(27,26,22221111),
(29,17,) | * | (25,17,0000),(29,20,111),(29,14,333),(34,10,222223333333),
(25,14,) | * | (25,17,111),(29,14,2222),(24,8,3333330),
(27,26,) | * | (23,26,0000),(29,22,223333),(23,22,33330000),
(23,24,) | * | (23,26,11),(21,24,00),(23,22,33),
(29,20,) | * | (29,17,333),(29,22,11),(29,22,2222110000),
(29,14,) | * | (25,14,0000),(34,10,332233222),(29,17,111),
(24,8,) | * | (25,14,2111111),(17,10,330000000011211),(17,10,000110000),
(29,22,) | * | (27,26,111100),(29,20,33),(29,20,2222330000),
(34,10,) | * | (29,14,000110011),(29,17,111111100000),

Portals:
