Choices:
(0,19,0) | A | (3,19,2),
(3,19,0) | * | (0,19,2),(7,23,8),(3,15,4),
(7,23,0) | * | (3,19,8),(33,21,9),(7,27,4),
(3,15,0) | * | (3,19,4),(15,31,13),(11,5,22),
(15,31,0) | * | (3,15,13),(11,31,4),(17,27,6),
(7,27,0) | * | (11,31,8),(11,31,8),(7,23,4),
(33,21,0) | * | (29,21,4),(25,29,20),(7,23,9),
(11,31,0) | * | (15,31,4),(7,27,8),(7,27,8),
(17,27,0) | * | (15,31,6),(19,29,4),(23,31,5),
(29,21,0) | * | (33,21,4),(25,27,10),(29,17,4),
(19,29,0) | * | (17,27,4),(29,17,11),(21,29,2),
(23,31,0) | * | (17,27,5),(25,29,4),(21,29,4),
(25,27,0) | * | (29,21,10),(21,29,6),(25,29,2),
(29,17,0) | * | (19,29,11),(33,11,10),(29,21,4),
(21,29,0) | * | (19,29,2),(23,31,4),(25,27,6),
(25,29,0) | * | (23,31,4),(25,27,2),(33,21,20),
(11,5,0) | * | (21,7,11),(21,7,16),(3,15,22),
(33,11,0) | * | (35,11,2),(21,7,20),(29,17,10),
(21,7,0) | * | (33,11,20),(11,5,11),(11,5,16),
(35,11,0) | Z | (33,11,2),

Portals:
(9,17,0) | B | (17,33,0),
(9,21,0) | C | (35,19,0),
(15,0,0) | D | (21,9,0),
(17,24,0) | K | (23,33,0),
(17,33,0) | B | (9,17,0),
(21,9,0) | D | (15,0,0),
(21,33,0) | L | (26,15,0),
(23,33,0) | K | (17,24,0),
(26,15,0) | L | (21,33,0),
(35,19,0) | C | (9,21,0),
